Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
De'Anthony Melton,PG,21,MEM,43,0,18.7,2.9,6.7,.432,0.6,2.0,.298,2.3,4.7,.488,.476,1.9,2.2,.842,0.7,3.0,3.6,3.0,1.3,0.3,1.5,1.8,8.2
Chimezie Metu,PF,22,SAS,16,0,4.6,1.3,2.2,.571,0.0,0.1,.000,1.3,2.1,.588,.571,0.4,0.5,.750,0.6,1.0,1.6,0.4,0.1,0.3,0.3,0.3,2.9
Khris Middleton,SF,28,MIL,49,46,29.7,7.6,14.9,.508,2.4,5.5,.443,5.1,9.4,.546,.590,3.1,3.4,.905,0.8,5.4,6.2,4.2,0.9,0.1,2.0,2.2,20.7
Eric Mika,PF,25,SAC,1,0,19.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,2.0,2.0,1.000,2.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,6.0
C.J. Miles,SG,32,WAS,10,0,16.1,1.9,5.9,.322,1.1,3.5,.314,0.8,2.4,.333,.415,1.5,2.0,.750,0.4,0.8,1.2,1.2,1.0,0.4,0.4,1.4,6.4
Malcolm Miller,SF,26,TOR,24,1,5.2,0.3,1.0,.348,0.3,0.8,.333,0.1,0.2,.400,.478,0.0,0.3,.167,0.0,0.5,0.6,0.3,0.2,0.1,0.1,0.5,1.0
Patty Mills,PG,31,SAS,56,1,22.9,3.9,9.3,.427,2.4,6.2,.385,1.6,3.0,.512,.556,1.4,1.7,.842,0.3,1.3,1.6,1.8,0.8,0.1,0.8,1.5,11.7
Paul Millsap,PF,34,DEN,37,34,24.5,4.2,8.8,.485,1.1,2.5,.451,3.1,6.3,.498,.548,2.6,3.1,.850,1.9,4.0,6.0,1.5,0.9,0.7,1.2,2.8,12.2
Shake Milton,SG,23,PHI,24,8,15.2,2.3,5.2,.440,1.0,2.7,.369,1.3,2.5,.517,.536,1.1,1.4,.788,0.3,1.7,1.9,1.5,0.4,0.0,1.0,1.7,6.7
Donovan Mitchell,SG,23,UTA,55,55,34.4,9.0,19.7,.457,2.4,6.7,.360,6.6,13.0,.506,.518,3.8,4.5,.861,0.7,3.7,4.3,4.3,1.1,0.2,2.7,2.4,24.2
Naz Mitrou-Long,SG,26,IND,3,0,14.3,2.0,5.3,.375,0.7,3.7,.182,1.3,1.7,.800,.438,0.0,0.0,,0.0,2.0,2.0,2.3,0.3,0.3,0.7,0.3,4.7
Adam Mokoka,SG,21,CHI,8,0,7.1,0.9,2.4,.368,0.4,1.1,.333,0.5,1.3,.400,.447,0.0,0.3,.000,0.8,0.1,0.9,0.4,0.3,0.0,0.1,1.0,2.1
Malik Monk,SG,21,CHO,54,0,21.1,3.9,8.8,.438,1.1,3.7,.290,2.8,5.1,.545,.499,1.5,1.9,.820,0.5,2.4,2.9,2.1,0.4,0.3,1.4,1.3,10.3
